#Zotu ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession_description,Accession no.,evalue,per. Ident,taxid
Zotu1,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.06E-172,100,863246
Zotu793,,,,,,,,,,,,
Zotu794,,,,,,,,,,,,
Zotu795,,,,,,,,,,,,
Zotu796,,,,,,,,,,,,
Zotu797,,,,,,,,,,,,
Zotu798,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,8.8E-63,97.945,863246
Zotu799,,,,,,,,,,,,
Zotu800,,,,,,,,,,,,
Zotu801,,,,,,,,,,,,
Zotu802,,,,,,,,,,,,
Zotu803,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.2E-100,97.717,351716
Zotu804,,,,,,,,,,,,
Zotu805,,,,,,,,,,,,
Zotu806,,,,,,,,,,,,
Zotu807,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.35E-149,95.833,863246
Zotu808,,,,,,,,"Sarcophilus harrisii genome assembly, chromosome: X",LR735560.1,3.07E-20,85.849,0
Zotu809,Eukaryota,Chordata   ,Mammalia      ,Peramelemorphia,Peramelidae       ,Perameles   ,Perameles gunnii,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,1.45E-29,90.654,37737
Zotu810,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.02E-156,97.015,863246
Zotu811,,,,,,,,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 2",AB996691.1,1.13E-81,89.412,0
Zotu812,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.08E-157,97.329,863246
Zotu813,,,,,,,,"Mus musculus chromosome 19, clone RP23-183N3, complete sequence",AC156982.8,3.17E-57,85.062,0
Zotu814,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus Y Chr BAC RNAEX-132M01 (Amplicon Express Rat SHR-Akr BAC library) complete sequence,AC243462.5,8.43E-82,95.455,10116
Zotu815,,,,,,,,,,,,
Zotu816,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone ZJ2007 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence",JQ928406.1,4.35E-66,98.658,100272
Zotu817,,,,,,,,,,,,
Zotu818,,,,,,,,,,,,
Zotu819,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.23E-85,93.607,351716
Zotu820,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.08E-157,97.313,863246
Zotu821,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.62E-78,86.833,0
Zotu822,,,,,,,,,,,,
Zotu823,,,,,,,,,,,,
Zotu824,,,,,,,,,,,,
Zotu825,,,,,,,,,,,,
Zotu826,,,,,,,,,,,,
Zotu827,,,,,,,,,,,,
Zotu828,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,6.49E-155,96.988,863246
Zotu829,Eukaryota,Arthropoda ,Arachnida     ,Ixodida        ,Ixodidae          ,Ixodes      ,Ixodes uriae,"Ixodes uriae 18S ribosomal RNA gene, complete sequence",AF115369.1,1.14E-49,90.506,59655
Zotu830,,,,,,,,"Mouse DNA sequence from clone RP23-46J2 on chromosome X, complete sequence",AL683856.10,1.88E-48,85.641,0
Zotu831,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Pls1:tm1a(EUCOMM)Wtsi tm2a(EUCOMM)Wtsi; transgenic",JN960817.1,1.94E-23,88.776,0
Zotu832,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Acomys      ,Acomys russatus,"Acomys russatus genome assembly, chromosome: 25",LR877236.1,2.47E-09,92.453,60746
Zotu833,,,,,,,,,,,,
Zotu834,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,2E-69,86.038,0
Zotu835,,,,,,,,,,,,
Zotu836,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0863G04, complete sequence",AC234997.5,6.61E-73,92.893,9986
Zotu837,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 10, clone RP23-360H23, complete sequence",AC104920.10,6.18E-33,94.845,10090
Zotu838,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.34E-154,96.726,863246
Zotu839,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD53 18S ribosomal RNA gene, partial sequence",AY998647.1,1.66E-114,99.149,312471
Zotu840,,,,,,,,,,,,
Zotu841,,,,,,,,,,,,
Zotu842,,,,,,,,,,,,
Zotu843,,,,,,,,"Uncultured marine eukaryote clone AB_+25_KIN 18S ribosomal RNA gene, partial sequence",GU218701.1,2.5E-68,85.938,0
Zotu844,,,,,,,,,,,,
Zotu845,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,4.27E-76,87.547,0
Zotu846,,,,,,,,,,,,
Zotu847,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,5.72E-84,93.151,351716
Zotu848,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus Rho GTPase activating protein 32 (Arhgap32), transcript variant X7, mRNA",XM_032909364.1,6.24E-72,100,10117
Zotu849,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Acomys      ,Acomys russatus,"Acomys russatus genome assembly, chromosome: 4",LR877215.1,3.32E-16,92.537,60746
Zotu850,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 8 BAC CH230-3H18 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC094830.5,1.96E-103,99.07,10116
Zotu851,,,,,,,,,,,,
Zotu852,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Lca5:tm1a(EUCOMM)Wtsi; transgenic",JN958158.1,6.6E-27,86.667,0
Zotu853,,,,,,,,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,8.98E-68,85.938,0
Zotu854,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.2E-100,97.717,351716
Zotu855,,,,,,,,,,,,
Zotu856,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 8, clone RP23-170M20, complete sequence",AC114581.9,6.09E-110,92.361,10090
Zotu857,,,,,,,,,,,,
Zotu858,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB-866H07, complete sequence",KJ810984.1,3.11E-83,92.76,9986
Zotu859,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD52 18S ribosomal RNA gene, partial sequence",AY998646.1,1.34E-90,94.643,312471
Zotu860,,,,,,,,,,,,
Zotu861,,,,,,,,"Mouse DNA sequence from clone RP23-20K17 on chromosome 4, complete sequence",AL806517.9,1.42E-38,88.276,0
Zotu862,,,,,,,,,,,,
Zotu863,,,,,,,,,,,,
Zotu864,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate Dev1 18S ribosomal RNA gene, partial sequence",AY753612.1,5.09E-105,94.531,312471
Zotu865,,,,,,,,"Mus musculus chromosome 5, clone RP23-262H7, complete sequence",AC113064.8,6.6E-27,87.719,0
Zotu866,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain HFCC306 18S ribosomal RNA gene, partial sequence",DQ207583.1,3.95E-106,94.882,312471
Zotu867,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,1.1E-106,94.882,266813
Zotu868,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 4 BAC CH230-213L22 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC126115.5,2.15E-42,98.095,10116
Zotu869,,,,,,,,,,,,
Zotu870,,,,,,,,,,,,
Zotu871,,,,,,,,,,,,
Zotu872,,,,,,,,,,,,
Zotu873,,,,,,,,"Acropsopilio chilensis voucher CASENT-9027889 18S ribosomal RNA gene, partial sequence",KF963303.1,8.79E-46,89.241,0
Zotu874,,,,,,,,,,,,
Zotu875,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Lca5:tm1a(EUCOMM)Wtsi; transgenic",JN958158.1,6.88E-27,86.667,0
Zotu876,,,,,,,,,,,,
Zotu877,,,,,,,,"Uncultured kinetoplastid clone A2_G10 18S ribosomal RNA gene, partial sequence",JN629289.1,3.23E-67,85.882,0
Zotu878,,,,,,,,"Mus musculus chromosome 8, clone RP23-479K9, complete sequence",AC115820.11,4.04E-41,82.71,0
Zotu879,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Klosteria   ,Klosteria bodomorphis,"Klosteria bodomorphis small subunit ribosomal RNA gene, partial sequence",AY268046.1,4.35E-66,98.026,240580
Zotu880,,,,,,,,,,,,
Zotu881,,,,,,,,Rattus norvegicus 18 BAC CH230-372C24 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC127734.4,6.12E-30,82.927,0
Zotu882,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone A2_D12 18S ribosomal RNA gene, partial sequence",JN629255.1,1.71E-99,95.359,204529
Zotu883,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.6 18S ribosomal RNA gene, partial sequence",AY753958.1,3.98E-111,95.72,100272
Zotu884,,,,,,,,Rattus norvegicus 1 BAC CH230-37P5 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC099468.9,3.36E-32,80,0
Zotu885,,,,,,,,,,,,
Zotu886,,,,,,,,,,,,
Zotu887,,,,,,,,,,,,
Zotu888,,,,,,,,"Uncultured kinetoplastid clone IP_144 18S ribosomal RNA gene, partial sequence",JN629904.1,1.16E-81,88.931,0
Zotu889,,,,,,,,,,,,
Zotu890,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L10.2 18S ribosomal RNA gene, partial sequence",AY753968.1,4.66E-110,97.881,100272
Zotu891,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Leishmania  ,Leishmania infantum,"Leishmania infantum isolate CBT 276 small subunit ribosomal RNA gene, partial sequence",MN757921.1,7.43E-139,97.619,5671
Zotu892,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,9.06E-27,88.889,0
Zotu893,,,,,,,,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Lca5:tm1a(EUCOMM)Wtsi; transgenic",JN958158.1,6.6E-27,86.667,0
Zotu894,,,,,,,,"Uncultured kinetoplastid clone CB_101 18S ribosomal RNA gene, partial sequence",JN629578.1,6.8E-64,85.542,0
Zotu895,,,,,,,,,,,,
Zotu896,,,,,,,,,,,,
Zotu897,,,,,,,,,,,,
Zotu898,,,,,,,,,,,,
Zotu899,,,,,,,,,,,,
Zotu900,,,,,,,,,,,,
Zotu901,,,,,,,,,,,,
Zotu902,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.07E-162,98.209,863246
Zotu903,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,1.97E-79,88.302,0
Zotu904,,,,,,,,,,,,
Zotu905,,,,,,,,"Rhynchomonas nasuta strain HFCC99 18S ribosomal RNA gene, partial sequence",AY827855.1,5.51E-80,88.302,0
Zotu906,,,,,,,,,,,,
Zotu907,,,,,,,,,,,,
Zotu908,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,5.68E-89,94.545,351716
Zotu909,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,6.66E-79,88.933,0
Zotu910,,,,,,,,"Uncultured kinetoplastid clone GB_A04 18S ribosomal RNA gene, partial sequence",JN629783.1,5.73E-85,88.448,0
Zotu911,Eukaryota,Euglenozoa ,Kinetoplastea ,Parabodonida  ,Parabodonidae,Parabodo    ,Parabodo caudatus,"Parabodo caudatus strain HFCC10 18S ribosomal RNA gene, partial sequence",DQ207591.1,3.39E-62,97.297,351713
Zotu912,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB_204B12, complete sequence",KJ810982.1,2.04E-99,92.424,9986
Zotu913,,,,,,,,,,,,
Zotu914,,,,,,,,,,,,
Zotu915,,,,,,,,,,,,
Zotu916,,,,,,,,,,,,
Zotu917,,,,,,,,"Mus musculus BAC clone RP23-431D8 from chromosome 7, complete sequence",AC126441.5,4.39E-35,81.281,0
Zotu918,,,,,,,,"Uncultured kinetoplastid clone A2_G10 18S ribosomal RNA gene, partial sequence",JN629289.1,6.95E-69,86.275,0
Zotu919,,,,,,,,,,,,
Zotu920,,,,,,,,,,,,
Zotu921,,,,,,,,,,,,
Zotu922,,,,,,,,,,,,
Zotu923,,,,,,,,,,,,
Zotu924,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.04E-156,97.024,863246
Zotu925,,,,,,,,,,,,
Zotu926,,,,,,,,,,,,
Zotu927,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus uncharacterized LOC102546375 (LOC102546375), transcript variant X3, ncRNA",XR_349491.3,1.02E-62,97.297,10116
Zotu928,,,,,,,,,,,,
Zotu929,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0863G04, complete sequence",AC234997.5,5.71E-100,93.023,9986
Zotu930,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Klosteria   ,Klosteria bodomorphis,"Klosteria bodomorphis small subunit ribosomal RNA gene, partial sequence",AY268046.1,6.77E-64,96.732,240580
Zotu931,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,3.25E-82,88.973,0
Zotu932,,,,,,,,,,,,
Zotu933,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,4.3E-71,86.466,0
Zotu934,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 1",AB996690.1,6.64E-104,94.163,204529
Zotu935,,,,,,,,"Mus musculus BAC clone RP23-127P22 from chromosome 19, complete sequence",AC132454.3,4.61E-39,84.884,0
Zotu936,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 2 BAC CH230-9H16 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC125565.5,6.49E-23,91.011,10116
Zotu937,,,,,,,,,,,,
Zotu938,,,,,,,,,,,,
Zotu939,,,,,,,,Rattus norvegicus BAC CH230-211A9 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC132671.5,3.58E-53,85.714,0
Zotu940,,,,,,,,"Rattus norvegicus chromosome 20, major histocompatibility complex, assembled from 40 BACs, strain Brown Norway (BN/ssNHsd), RT1n haplotype; segment 7/11",BX883048.1,2.1E-79,89.958,0
Zotu941,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.83E-88,97.949,863246
Zotu942,,,,,,,,,,,,
Zotu943,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate JC16 18S ribosomal RNA gene, partial sequence",AY753615.1,1.16E-86,90.076,312471
Zotu944,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,4.16E-86,90.385,100272
Zotu945,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,1.3E-110,97.89,312471
Zotu946,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone 0863G04, complete sequence",AC234997.5,1.4E-84,96.447,9986
Zotu947,,,,,,,,,,,,
Zotu948,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP23-247P23 from chromosome 14, complete sequence",AC241621.2,8.45E-154,96.439,10090
Zotu949,,,,,,,,,,,,
Zotu950,,,,,,,,"Oryctolagus cuniculus, clone 0863G04, complete sequence",AC234997.5,3.46E-87,89.734,0
Zotu951,,,,,,,,,,,,
Zotu952,,,,,,,,Rattus norvegicus BAC CH230-6D18 (Children&apos;s Hospital Oakland Research Institute Rat (BN/SsNHsd/MCW) BAC library) complete sequence,AC094931.7,4.5E-97,88.742,0
Zotu953,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,5.27E-90,91.016,100272
Zotu954,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone BAC LBAB_319H05, complete sequence",KJ810978.1,8.16E-14,92.063,9986
Zotu955,,,,,,,,,,,,
Zotu956,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,2.38E-103,94.094,266813
Zotu957,,,,,,,,,,,,
Zotu958,,,,,,,,,,,,
Zotu959,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Lepus       ,Lepus townsendii,"Lepus townsendii neuron navigator 1 (NAV1) gene, partial cds",MK078482.1,8.41E-62,90.104,63225
Zotu960,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,5.15E-100,93.307,266813
Zotu961,,,,,,,,"Onychomys torridus genome assembly, chromosome: 17",LR877204.1,1.69E-34,80.631,0
Zotu962,,,,,,,,,,,,
Zotu963,,,,,,,,,,,,
Zotu964,,,,,,,,"Uncultured marine eukaryote clone AB_+67_KIN 18S ribosomal RNA gene, partial sequence",GU218703.1,4.35E-66,85.338,0
Zotu965,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"Rattus norvegicus strain Brown Norway clone RP31-153J8, complete sequence",AC091616.2,6.05E-38,97.03,10116
Zotu966,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.6 18S ribosomal RNA gene, partial sequence",AY753958.1,1.85E-109,95.331,100272
Zotu967,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo sp. TGS2,"Bodo sp. TGS2 gene for 18S ribosomal RNA, partial sequence",AB585965.1,8.76E-63,97.931,882202
Zotu968,,,,,,,,Rattus norvegicus 4 BAC CH230-125G2 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC119382.7,5.82E-80,87.778,0
Zotu969,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,8.8E-63,97.945,863246
Zotu970,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.22E-95,96.364,351716
Zotu971,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus guanylate-binding protein 1-like (LOC116895226), mRNA",XM_032896554.1,7.37E-24,100,10117
Zotu972,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,3E-158,97.59,863246
Zotu973,,,,,,,,,,,,
Zotu974,,,,,,,,,,,,
Zotu975,,,,,,,,"Mus musculus chromosome 8, clone RP24-213P1, complete sequence",AC102398.12,9.19E-34,80.085,0
Zotu976,,,,,,,,,,,,
Zotu977,,,,,,,,,,,,
Zotu978,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus clone LBNL1-125D4, complete sequence",AC144399.2,6.16E-91,91.935,9986
Zotu979,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,1.22E-90,95,351716
Zotu980,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,8.46E-149,100,863246
Zotu981,,,,,,,,,,,,
Zotu982,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus guanylate-binding protein 1-like (LOC116895226), mRNA",XM_032896554.1,3.94E-24,100,10117
Zotu983,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,4.05E-66,99.31,863246
Zotu984,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,2.41E-27,89.623,0
Zotu985,,,,,,,,,,,,
Zotu986,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP23-399J19 from 1, complete sequence",AC121790.2,0.0000105,97.297,10090
Zotu987,,,,,,,,"Mus musculus BAC clone RP23-467P15 from 18, complete sequence",AC121824.2,1.38E-56,83.039,0
Zotu988,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Klosteria   ,Klosteria bodomorphis,"Klosteria bodomorphis small subunit ribosomal RNA gene, partial sequence",AY268046.1,9.42E-63,96.711,240580
Zotu989,,,,,,,,,,,,
Zotu990,,,,,,,,"Uncultured eukaryote clone SHBA765 18S ribosomal RNA gene, partial sequence",HQ869417.1,5.25E-80,89.231,0
Zotu991,,,,,,,,,,,,
Zotu992,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,5.24E-65,96.774,312471
Zotu993,,,,,,,,,,,,
Zotu994,,,,,,,,,,,,
Zotu995,,,,,,,,,,,,
Zotu996,,,,,,,,"Uncultured marine eukaryote clone AB_+67_KIN 18S ribosomal RNA gene, partial sequence",GU218703.1,2.02E-64,84.962,0
Zotu997,,,,,,,,Rattus norvegicus 4 BAC CH230-125G2 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC119382.7,2.71E-78,87.407,0
Zotu998,,,,,,,,,,,,
Zotu999,,,,,,,,"Mus musculus chromosome 5, clone RP23-262H7, complete sequence",AC113064.8,3.07E-25,86.842,0
Zotu1000,,,,,,,,,,,,
Zotu1001,,,,,,,,,,,,
Zotu1002,,,,,,,,,,,,
Zotu1003,Eukaryota,Arthropoda ,Arachnida     ,Ixodida        ,Ixodidae          ,Ixodes      ,Ixodes persulcatus,"Ixodes persulcatus isolate BJ2011 18S ribosomal RNA gene, partial sequence",JN675899.1,3.16E-50,90.566,34615
Zotu1004,,,,,,,,"Onychomys torridus genome assembly, chromosome: 14",LR877201.1,2.2E-34,84.375,0
Zotu1005,,,,,,,,,,,,
